Time,Time Code,Country Name,Country Code,GDP per capita (constant 2010 US$) [NY.GDP.PCAP.KD]
2017,YR2017,Netherlands,NLD,53597.8343255379
2017,YR2017,Germany,DEU,46747.1924708096
2017,YR2017,France,FRA,42567.7436477565
2017,YR2017,Italy,ITA,34877.8291405126
2017,YR2017,Spain,ESP,32405.7508143881
2017,YR2017,United Kingdom,GBR,42514.487450259
2017,YR2017,Greece,GRC,23027.4134527969
2017,YR2017,Belgium,BEL,46078.9290873069
2017,YR2017,Finland,FIN,47057.6190471053
2017,YR2017,Austria,AUT,49129.2336646382
2017,YR2017,Portugal,PRT,23116.5793325883
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/14/2018,,,,
